"","LUCAS_ID","CONTAINER_ID","X_LAEA","Y_LAEA","Elevation","AnnualPrecip","AnnualTemp","LC_Survey_Code","Country","LC_1","LC_2","LC_3","LC_4","CLC_2018","CLC_2012","CLC_2006","CLC_2000","CLC_1990","CLC.firstChange","CLC.lastChange","num.CLC.changes","time.since.CLC.change","MWD","WSA","Xylosidase","Cellulase","N.actylglucosaminidase","beta.glucosidase","Acid.phosphatase","O2_Measurement_ID","O2_Channel","O2_Device","Basal_respiration","MIRR","Cmic","qO2","H2O_percent_FW","glucose_per_sample_SIR","water_added_SIR","date_O2_Measurement","date_of_sampling","remarks","machine_factor","coarse_2009","clay_2009","silt_2009","sand_2009","pHinH2O_2009","pHinCaCl2_2009","OC_2009","CaCO3_2009","N_2009","P_2009","K_2009","CEC_2009","Repeated","coarse_2015","clay_2015","sand_2015","silt_2015","pHinCaCl2_2015","pHinH2O_2015","Electrical_conductivity_2015","OC_2015","CaCO3_2015","P_2015","N_2015","K_2015","CEC_2015","NUTS0","NUTS1","NUTS2","NUTS3","MonthlyPrecipSum","MonthlyMeanTemp","dates","MeanNDVI90days","MeanNDVI3years","Sum_burned_areas_1year","LC_5","clay_2009_shapefile","silt_2009_shapefile","sand_2009_shapefile","pHinH2O_2009_shapefile","pHinCaCl2_2009_shapefile","OC_2009_shapefile","clay_yearCombine","silt_yearCombine","sand_yearCombine","pHinH2O_yearCombine","pHinCaCl2_yearCombine","year_of_yearCombine","PA","nonPA.1","mahal.min.1"
"1",27162028,324,2716000,2028000,305,778,149,"B81","PORTUGAL","Olive groves","Other permanent crops","Cropland","Agriculture",223,223,223,223,223,1990,1990,0,28,2.18009797297297,96.7741935483871,131.68,41.36,189.45,547.52,313.99,8694,"Channel 17","EMIL",0.672559853,25.5267035,679.0103131,0.0009905,9.830621056,21.6,0.75,"5/15/19","n/a","n/a",1,34,33,54,14,7.74,7.25,"32.4","291",2.8,"0",466.6,29,"Yes",NA,NA,NA,NA,7.2,7.56,17.74,27.9,357,7.3,3.1,393.7,24.4,"PT","PT1","PT16","PT16F",66.00000098,15.82499965,"2018-06-20",0.656571428571429,0.547883495145631,0,"Agriculture",33,54,14,7.74,7.25,"32.4",33,54,14,7.74,7.25,2009,1,35782450,1.10862781998597
"2",28282190,524,2828000,2190000,657,1287,123,"E10","PORTUGAL","Grassland with sparse tree/shrub cover","Grassland with sparse tree/shrub cover","Grassland","Grassland",324,324,324,311,311,2006,2006,1,12,1.26809514170041,65,99.31,51.88,153.22,411.69,923.08,8845,"Channel 18","EMIL",1.398137138,11.95270181,317.9418681,0.004397462,15.94202899,21.6,1.25,"6/19/19","n/a","n/a",1,27,7,21,73,5.37,4.57,"52","1",4,"53.8",174.3,6.2,"Yes",NA,NA,NA,NA,4.5,5.16,4.21,23.4,0,30.8,2.1,94.6,3.7,"PT","PT1","PT11","PT11C",0,18.73966625,"2018-08-01",0.695111111111111,0.643883495145631,0,"Grassland",7,21,73,5.37,4.57,"52",7,21,73,5.37,4.57,2009,1,37222482,1.21050372733542
"3",28302282,546,2830000,2282000,1084,1869,92,"F10","PORTUGAL","Rocks and stones","Rocks and stones","Bare land and lichens/moss","Bare",333,333,333,333,332,2000,2000,1,18,1.38294189189189,69.2307692307692,172.77,68.03,182.11,512.18,1301.42,7302,"Channel 13","KLAUS",0.345713294,15.89320838,422.7593428,0.000817754,4.507789195,21.6,1,"n/a","n/a","n/a",1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"No",44,3,75,22,4.4,4.68,2.16,39.9,0,0,2.4,11.6,2.2,"PT","PT1","PT11","PT111",2.500000037,17.86866627,"2018-08-03",0.491555555555556,0.44388,0,"Other",8,20,72,4.63,4.01,"55.1",3,22,75,4.68,4.4,2015,1,28782280,7.34082991522539
"4",28522106,408,2852000,2106000,1244,1467,94,"C10","PORTUGAL","Broadleaved woodland","Broadleaved woodland","Woodland","Forest",324,324,324,324,243,2000,2000,1,18,0.482816326530621,16.2162162162162,72.65,44.47,277.99,422,1024.17,5360,"Channel 20","EMIL",2.717001056,24.89123548,662.1068638,0.004103569,21.54101077,21.6,1.5,"5/8/19","n/a","n/a",1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"No",12,11,44,45,4.4,4.41,18.73,78.6,0,22,5.9,66,4.6,"PT","PT1","PT16","PT16J",57.50000086,19.24299957,"2018-07-10",0.697333333333333,0.637544554455446,0,"Forest",13,28,59,6.39,5.61,"16.7",11,45,44,4.41,4.4,2015,1,38282398,2.89017301760709
"5",28542018,625,2854000,2018000,232,672,164,"C10","PORTUGAL","Broadleaved woodland","Broadleaved woodland","Woodland","Forest",244,244,244,244,244,1990,1990,0,28,1.66828702397743,26.6666666666666,26.97,15.79,123.66,193.27,233.24,7391,"Channel 12","KLAUS",0.828205555,4.969233328,132.1816065,0.006265664,0.248838752,21.6,0.75,"7/8/19","n/a","n/a",1,47,5,16,79,6.03,4.93,"7.8","0",0.7,"0",32,9.5,"Yes",NA,NA,NA,NA,5.1,5.58,4.53,7.1,0,13.4,0.8,23.3,2,"PT","PT1","PT16","PT16H",0,25.4196661,"2018-08-08",0.318,0.363009523809524,0,"Forest",5,16,79,6.03,4.93,"7.8",5,16,79,6.03,4.93,2009,1,27461892,3.37293689550006
"6",29281840,340,2928000,1840000,580,584,155,"B15","SPAIN","Oats","Cereals","Cropland","Agriculture",211,211,211,211,211,1990,1990,0,28,1.49866666666667,63.6363636363636,19.98,17.34,63.13,211.55,110.9,7140,"Channel 1","KLAUS",0,11.65359254,309.9855616,0,2.849569251,21.6,1.25,"5/22/19","n/a","n/a",1,4,26,50,24,8.14,7.1,"10.2","15",1.3,"0",144.7,22.7,"Yes",NA,NA,NA,NA,7.6,8.02,18.83,10.8,19,4.2,1.4,90.8,29,"ES","ES4","ES43","ES431",4.100000061,21.71299951,"2018-07-02",0.380444444444444,0.318133333333333,0,"Agriculture",26,50,24,8.14,7.1,"10.2",26,50,24,8.14,7.1,2009,1,30301704,0.652871256961359
"7",29302338,139,2930000,2338000,1012,963,96,"E20","SPAIN","Grassland without tree/shrub cover","Grassland without tree/shrub cover","Grassland","Grassland",211,211,211,243,243,2006,2006,1,12,1.61770000000001,88.235294117647,100.93,61.13,172.25,536.15,940.1,8580,"Channel 23","EMIL",2.503568962,19.11121345,508.3582777,0.004924812,28.69807913,0.0216,0.75,"4/24/19","n/a","n/a",1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"No",53,17,31,52,5,5.27,24.8,54,0,65.7,5.7,188.8,10.5,"ES","ES1","ES11","ES112",32.60000049,11.70099974,"2018-05-30",0.729,0.696255319148936,0,"Grassland",11,45,44,5.25,4.58,"29.1",17,52,31,5.27,5,2015,1,28722216,0.836976001125428
"8",29461660,44,2946000,1660000,1112,854,117,"E10","SPAIN","Grassland with sparse tree/shrub cover","Grassland with sparse tree/shrub cover","Grassland","Grassland",323,323,323,324,324,2006,2006,1,12,1.99037096774194,88.2352941176471,96.99,105.55,283.93,773.36,585.49,9282,"Channel 5","EMIL",3.644265233,41.15292712,1094.667861,0.003329106,26.25144556,0.0216,0.5,"4/10/19","n/a","n/a",1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"No",41,28,29,43,7.1,7.33,15.85,49.5,30,9.7,3.6,419.1,36.5,"ES","ES6","ES61","ES612",4.300000064,13.5369997,"2018-05-30",0.602666666666667,0.623153846153846,0,"Grassland",42,44,14,8.16,7.38,"16.4",28,43,29,7.33,7.1,2015,1,37922448,3.57280654880301
"9",29542352,607,2954000,2352000,1374,1230,74,"D20","SPAIN","Shrubland without tree cover","Shrubland without tree cover","Shrubland","Shrubland",322,322,322,324,324,2006,2006,1,12,1.14082323232324,75,1523.2,150.84,301.34,1179.49,4322.85,7315,"Channel 26","KLAUS",4.788461538,30.02809975,798.7474535,0.005994963,37.46293245,21.6,1.25,"n/a","n/a","seedling alter bas",1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"No",12,9,47,45,3.4,4.45,17.24,181.9,0,81.8,9.8,142.2,19.5,"ES","ES1","ES11","ES112",21.80000032,17.43066628,"2018-08-06",0.696666666666667,0.62665,0,"Other",13,55,33,5.34,4.42,"35.3",9,45,47,4.45,3.4,2015,1,29582266,1.85142694129951
"10",30061684,338,3006000,1684000,410,561,166,"B15","SPAIN","Oats","Cereals","Cropland","Agriculture",223,211,211,211,211,2018,2018,1,0,1.52942783505155,58.0645161290322,120.7,51.86,80.88,490.67,93.29,7122,"Channel 13","KLAUS",0.170857227,19.52654021,519.4059697,0.000328947,3.257467994,25.2,1.75,"5/15/19","n/a","n/a",1,18,26,38,35,7.9,7.39,"12.2","493",1.3,"28",396.5,16.2,"Yes",NA,NA,NA,NA,7.6,8.07,16.97,4.8,495,9.1,1.2,279,16.6,"ES","ES6","ES61","ES617",0,21.27599952,"2018-06-26",0.337777777777778,0.309607476635514,0,"Agriculture",26,38,35,7.9,7.39,"12.2",26,38,35,7.9,7.39,2009,1,29901692,0.297193490445848
"11",30562338,127,3056000,2338000,1288,924,81,"E10","SPAIN","Grassland with sparse tree/shrub cover","Grassland with sparse tree/shrub cover","Grassland","Grassland",322,322,322,321,321,2006,2006,1,12,1.88584597156398,80,43.44,41.39,246.16,380.49,474.12,7199,"Channel 30","KLAUS",1.04534005,6.540076213,173.9660273,0.006008875,14.02632017,21.6,1,"5/27/19","n/a","n/a",1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"No",35,26,28,46,6.2,6.5,6.57,31.4,1,0,3.5,107.8,20.5,"ES","ES4","ES41","ES413",98.30000146,8.046333153,"2018-05-28",0.683,0.575116279069767,0,"Grassland",27,43,30,6.61,6.32,"83.2",26,46,28,6.5,6.2,2015,1,38842482,2.10438722103931
